,SOURCE,TARGET,TRANSFORMATION,FILE_NAME,ROW_ID,LINK_VALUE,SOURCE_NODE,TARGET_NODE,SOURCE_FIELD,TARGET_FIELD,COLOR
34,query_CUSTOMER_ORDER.first_name,CUSTOMER_ORDER.first_name,,file_0,0,1,10.0,11,first_name,first_name,aliceblue
35,customers.last_name,query_CUSTOMER_ORDER.last_name,,file_0,0,1,12.0,10,last_name,last_name,aliceblue
36,query_CUSTOMER_ORDER.last_name,CUSTOMER_ORDER.last_name,,file_0,0,1,10.0,11,last_name,last_name,aliceblue
37,customers.email,query_CUSTOMER_ORDER.email,,file_0,0,1,12.0,10,email,email,aliceblue
38,query_CUSTOMER_ORDER.email,CUSTOMER_ORDER.email,,file_0,0,1,10.0,11,email,email,aliceblue
39,recent_orders.order_id,query_CUSTOMER_ORDER.order_id,,file_0,0,1,,10,order_id,order_id,aliceblue
40,query_CUSTOMER_ORDER.order_id,CUSTOMER_ORDER.order_id,,file_0,0,1,10.0,11,order_id,order_id,aliceblue
41,recent_orders.order_date,query_CUSTOMER_ORDER.order_date,,file_0,0,1,,10,order_date,order_date,aliceblue
42,query_CUSTOMER_ORDER.order_date,CUSTOMER_ORDER.order_date,,file_0,0,1,10.0,11,order_date,order_date,aliceblue
43,recent_orders.total_order_amount,query_CUSTOMER_ORDER.total_order_amount,,file_0,0,1,,10,total_order_amount,total_order_amount,aliceblue
44,query_CUSTOMER_ORDER.total_order_amount,CUSTOMER_ORDER.total_order_amount,,file_0,0,1,10.0,11,total_order_amount,total_order_amount,aliceblue
45,recent_payments.total_payment_amount,query_CUSTOMER_ORDER.total_payment_amount,,file_0,0,1,,10,total_payment_amount,total_payment_amount,aliceblue
46,query_CUSTOMER_ORDER.total_payment_amount,CUSTOMER_ORDER.total_payment_amount,,file_0,0,1,10.0,11,total_payment_amount,total_payment_amount,aliceblue
47,recent_order_items.product_name,query_CUSTOMER_ORDER.product_name,,file_0,0,1,,10,product_name,product_name,aliceblue
48,query_CUSTOMER_ORDER.product_name,CUSTOMER_ORDER.product_name,,file_0,0,1,10.0,11,product_name,product_name,aliceblue
49,recent_order_items.category_name,query_CUSTOMER_ORDER.category_name,,file_0,0,1,,10,category_name,category_name,aliceblue
50,query_CUSTOMER_ORDER.category_name,CUSTOMER_ORDER.category_name,,file_0,0,1,10.0,11,category_name,category_name,aliceblue
51,recent_order_items.quantity,query_CUSTOMER_ORDER.quantity,,file_0,0,1,,10,quantity,quantity,aliceblue
52,query_CUSTOMER_ORDER.quantity,CUSTOMER_ORDER.quantity,,file_0,0,1,10.0,11,quantity,quantity,aliceblue
53,recent_order_items.unit_price,query_CUSTOMER_ORDER.unit_price,,file_0,0,1,,10,unit_price,unit_price,aliceblue
54,query_CUSTOMER_ORDER.unit_price,CUSTOMER_ORDER.unit_price,,file_0,0,1,10.0,11,unit_price,unit_price,aliceblue
55,recent_order_items.total_item_amount,query_CUSTOMER_ORDER.total_item_amount,,file_0,0,1,,10,total_item_amount,total_item_amount,aliceblue
56,query_CUSTOMER_ORDER.total_item_amount,CUSTOMER_ORDER.total_item_amount,,file_0,0,1,10.0,11,total_item_amount,total_item_amount,aliceblue
57,avg_product_rating.avg_rating,query_CUSTOMER_ORDER.avg_rating,,file_0,0,1,,10,avg_rating,avg_rating,aliceblue
58,query_CUSTOMER_ORDER.['avg_rating'],CUSTOMER_ORDER.avg_product_rating,TYPE_CONVERSION(avg_rating),file_0,0,1,10.0,11,['avg_rating'],avg_product_rating,orangered
59,total_customer_spend.total_spent,query_CUSTOMER_ORDER.total_spent,,file_0,0,1,,10,total_spent,total_spent,aliceblue
60,query_CUSTOMER_ORDER.['total_spent'],CUSTOMER_ORDER.total_customer_spent,TYPE_CONVERSION(total_spent),file_0,0,1,10.0,11,['total_spent'],total_customer_spent,orangered
