,SOURCE,TARGET,TRANSFORMATION,FILE_NAME,ROW_ID,LINK_VALUE,SOURCE_NODE,TARGET_NODE,SOURCE_FIELD,TARGET_FIELD,COLOR
16,trades.quantity,subquery_2.quantity,,file_1,0,1,6,8,quantity,quantity,aliceblue
17,subquery_2.quantity,query_INVESTOR_OVERVIEW.total_dividends,"SUM(MUL(dividends.dividend_amount, trades.quantity))",file_1,0,1,8,12,quantity,total_dividends,orangered
18,trades.trade_id,subquery_1.trade_id,,file_1,0,1,6,10,trade_id,trade_id,aliceblue
19,subquery_1.trade_id,query_INVESTOR_OVERVIEW.trade_id,,file_1,0,1,10,12,trade_id,trade_id,aliceblue
20,trades.portfolio_id,subquery_1.portfolio_id,,file_1,0,1,6,10,portfolio_id,portfolio_id,aliceblue
21,subquery_1.portfolio_id,query_INVESTOR_OVERVIEW.portfolio_id,,file_1,0,1,10,12,portfolio_id,portfolio_id,aliceblue
22,stocks.ticker,subquery_1.ticker,,file_1,0,1,11,10,ticker,ticker,aliceblue
23,subquery_1.ticker,query_INVESTOR_OVERVIEW.ticker,,file_1,0,1,10,12,ticker,ticker,aliceblue
24,stocks.company_name,subquery_1.company_name,,file_1,0,1,11,10,company_name,company_name,aliceblue
25,subquery_1.company_name,query_INVESTOR_OVERVIEW.company_name,,file_1,0,1,10,12,company_name,company_name,aliceblue
26,trades.trade_date,subquery_1.trade_date,,file_1,0,1,6,10,trade_date,trade_date,aliceblue
27,subquery_1.trade_date,query_INVESTOR_OVERVIEW.trade_date,,file_1,0,1,10,12,trade_date,trade_date,aliceblue
28,trades.trade_type,subquery_1.trade_type,,file_1,0,1,6,10,trade_type,trade_type,aliceblue
29,subquery_1.trade_type,query_INVESTOR_OVERVIEW.trade_type,,file_1,0,1,10,12,trade_type,trade_type,aliceblue
30,trades.quantity,subquery_1.quantity,,file_1,0,1,6,10,quantity,quantity,aliceblue
31,subquery_1.quantity,query_INVESTOR_OVERVIEW.quantity,,file_1,0,1,10,12,quantity,quantity,aliceblue
32,trades.price_per_share,subquery_1.price_per_share,,file_1,0,1,6,10,price_per_share,price_per_share,aliceblue
33,subquery_1.price_per_share,query_INVESTOR_OVERVIEW.price_per_share,,file_1,0,1,10,12,price_per_share,price_per_share,aliceblue
34,subquery_1.quantity,query_INVESTOR_OVERVIEW.total_trade_value,"(MUL(trades.quantity, trades.price_per_share))",file_1,0,1,10,12,quantity,total_trade_value,orangered
35,subquery_1.price_per_share,query_INVESTOR_OVERVIEW.total_trade_value,"(MUL(trades.quantity, trades.price_per_share))",file_1,0,1,10,12,price_per_share,total_trade_value,orangered
36,investors.investor_id,query_INVESTOR_OVERVIEW.investor_id,,file_1,0,1,14,12,investor_id,investor_id,aliceblue
37,query_INVESTOR_OVERVIEW.investor_id,INVESTOR_OVERVIEW.investor_id,,file_1,0,1,12,13,investor_id,investor_id,aliceblue
38,investors.first_name,query_INVESTOR_OVERVIEW.first_name,,file_1,0,1,14,12,first_name,first_name,aliceblue
39,query_INVESTOR_OVERVIEW.first_name,INVESTOR_OVERVIEW.first_name,,file_1,0,1,12,13,first_name,first_name,aliceblue
40,investors.last_name,query_INVESTOR_OVERVIEW.last_name,,file_1,0,1,14,12,last_name,last_name,aliceblue
41,query_INVESTOR_OVERVIEW.last_name,INVESTOR_OVERVIEW.last_name,,file_1,0,1,12,13,last_name,last_name,aliceblue
42,investors.email,query_INVESTOR_OVERVIEW.email,,file_1,0,1,14,12,email,email,aliceblue
43,query_INVESTOR_OVERVIEW.email,INVESTOR_OVERVIEW.email,,file_1,0,1,12,13,email,email,aliceblue
44,portfolios.portfolio_id,query_INVESTOR_OVERVIEW.portfolio_id,,file_1,0,1,15,12,portfolio_id,portfolio_id,aliceblue
45,query_INVESTOR_OVERVIEW.portfolio_id,INVESTOR_OVERVIEW.portfolio_id,,file_1,0,1,12,13,portfolio_id,portfolio_id,aliceblue
46,portfolios.portfolio_name,query_INVESTOR_OVERVIEW.portfolio_name,,file_1,0,1,15,12,portfolio_name,portfolio_name,aliceblue
47,query_INVESTOR_OVERVIEW.portfolio_name,INVESTOR_OVERVIEW.portfolio_name,,file_1,0,1,12,13,portfolio_name,portfolio_name,aliceblue
48,query_INVESTOR_OVERVIEW.trade_id,INVESTOR_OVERVIEW.trade_id,,file_1,0,1,12,13,trade_id,trade_id,aliceblue
49,query_INVESTOR_OVERVIEW.trade_date,INVESTOR_OVERVIEW.trade_date,,file_1,0,1,12,13,trade_date,trade_date,aliceblue
50,query_INVESTOR_OVERVIEW.ticker,INVESTOR_OVERVIEW.ticker,,file_1,0,1,12,13,ticker,ticker,aliceblue
51,query_INVESTOR_OVERVIEW.company_name,INVESTOR_OVERVIEW.company_name,,file_1,0,1,12,13,company_name,company_name,aliceblue
52,query_INVESTOR_OVERVIEW.trade_type,INVESTOR_OVERVIEW.trade_type,,file_1,0,1,12,13,trade_type,trade_type,aliceblue
53,query_INVESTOR_OVERVIEW.quantity,INVESTOR_OVERVIEW.quantity,,file_1,0,1,12,13,quantity,quantity,aliceblue
54,query_INVESTOR_OVERVIEW.price_per_share,INVESTOR_OVERVIEW.price_per_share,,file_1,0,1,12,13,price_per_share,price_per_share,aliceblue
55,query_INVESTOR_OVERVIEW.total_trade_value,INVESTOR_OVERVIEW.total_trade_value,,file_1,0,1,12,13,total_trade_value,total_trade_value,aliceblue
56,query_INVESTOR_OVERVIEW.total_dividends,INVESTOR_OVERVIEW.total_dividends,TYPE_CONVERSION(subquery_2.total_dividends),file_1,0,1,12,13,total_dividends,total_dividends,orangered
57,query_INVESTOR_OVERVIEW.avg_performance,INVESTOR_OVERVIEW.average_performance,TYPE_CONVERSION(subquery_3.avg_performance),file_1,0,1,12,13,avg_performance,average_performance,orangered
58,query_INVESTOR_OVERVIEW.total_value,INVESTOR_OVERVIEW.total_investment_value,TYPE_CONVERSION(subquery_4.total_value),file_1,0,1,12,13,total_value,total_investment_value,orangered
